,name,country,discipline
132,Katarzyna WOJCIK,"POL, ",Modern Pentathlon
133,Dietloff KAPP,"GER, ",Modern Pentathlon
134,Barry KENNEDY,"CAN, ",Modern Pentathlon
135,Giovanni PERUGINI,"ITA, ",Modern Pentathlon
136,Roderick MARTIN,"SWE, ",Modern Pentathlon
137,Nicolo DELIGIA,"ITA, ",Modern Pentathlon
138,Bohumil STARNOVSKY,"TCH, ",Modern Pentathlon
139,Joel BOUZOU,"FRA, ",Modern Pentathlon
140,Eszter HORTOBAGYI,"AUS, ",Modern Pentathlon
141,Sebastien DELEIGNE,"FRA, ",Modern Pentathlon
142,Willi REMER,"GER, ",Modern Pentathlon
143,Marcelo HOYO,"MEX, ",Modern Pentathlon
144,John ALEXANDER,"CAN, ",Modern Pentathlon
145,Tibor MARACSKO,"HUN, ",Modern Pentathlon
146,Akos KALLAI,"HUN, ",Modern Pentathlon
147,Niklaus BRUENISHOLZ,"SUI, ",Modern Pentathlon
148,Federica FOGHETTI,"ITA, ",Modern Pentathlon
149,Claudia CERUTTI,"ITA, ",Modern Pentathlon
150,Gabor BALOGH,"HUN, ",Modern Pentathlon
151,Pavel DOVGAL,"BLR, ",Modern Pentathlon
152,Ahmed NASSER,"EGY, ",Modern Pentathlon
153,Dariusz GOZDZIAK,"POL, ",Modern Pentathlon
154,Galina BASHLAKOVA,"BLR, ",Modern Pentathlon
155,Beat GANZ,"SUI, ",Modern Pentathlon
156,Berengerth SEQUERA,"VEN, ",Modern Pentathlon
157,Aurora TOGNETTI,"ITA, ",Modern Pentathlon
158,Valeriia UVAROVA,"KGZ, ",Modern Pentathlon
159,Liudmila SIROTKINA,"KGZ, ",Modern Pentathlon
160,Luis PREMOLI,"ARG, ",Modern Pentathlon
161,Giuseppe MICHELI,"ITA, ",Modern Pentathlon
162,Omero CHIESA,"ITA, ",Modern Pentathlon
163,Olliver SMITH,"NOR, ",Modern Pentathlon
164,Dzmitry MELIAKH,"BLR, ",Modern Pentathlon
165,Josef SCHEJBAL,"TCH, ",Modern Pentathlon
166,Yaniel VELAZQUEZ,"CUB, ",Modern Pentathlon
167,Sara BERTOLI,"ITA, ",Modern Pentathlon
168,Jerome HARTIGAN,"IRL, ",Modern Pentathlon
169,Ayman MAHMOUD,"EGY, ",Modern Pentathlon
170,Dovydas VAIVADA,"LTU, ",Modern Pentathlon
171,Laure ROSET,"FRA, ",Modern Pentathlon
172,R. OROZCO,"URU, ",Modern Pentathlon
173,Bruno RIEM,"SUI, ",Modern Pentathlon
174,Jussi PELLI,"FIN, ",Modern Pentathlon
175,Giancarlo MORRESI,"ITA, ",Modern Pentathlon
176,Jiri PROKOPIUS,"TCH, ",Modern Pentathlon
177,Ruslans NAKONECHNYI,"LAT, ",Modern Pentathlon
178,Raoul MOLLET,"BEL, ",Modern Pentathlon
179,Thorsten LINDQVIST,"SWE, ",Modern Pentathlon
180,Harry AVELLAN,"FIN, ",Modern Pentathlon
181,Georges BRULE,"FRA, ",Modern Pentathlon
182,Alfonso OTTAVIANI,"ITA, ",Modern Pentathlon
183,Alexander JOHNSON,"AUS, ",Modern Pentathlon
184,Andrei GHEORGHE,"GUA, ",Modern Pentathlon
185,Adrienn TOTH,"HUN, ",Modern Pentathlon
186,Hector CARMONA,"CHI, ",Modern Pentathlon
187,Janos BODI,"HUN, ",Modern Pentathlon
188,Angel PEPELIANKOV,"BUL, ",Modern Pentathlon
189,Krzysztof TRYBUSIEWICZ,"POL, ",Modern Pentathlon
190,Ryszard WACH,"POL, ",Modern Pentathlon
191,Lawrence KEYTE,"CAN, ",Modern Pentathlon
192,Jerome HARTIGAN,"IRL, ",Modern Pentathlon
193,Ayman MAHMOUD,"EGY, ",Modern Pentathlon
194,Dovydas VAIVADA,"LTU, ",Modern Pentathlon
195,Laure ROSET,"FRA, ",Modern Pentathlon
196,R. OROZCO,"URU, ",Modern Pentathlon
197,Bruno RIEM,"SUI, ",Modern Pentathlon
198,Jussi PELLI,"FIN, ",Modern Pentathlon
199,Giancarlo MORRESI,"ITA, ",Modern Pentathlon
200,Jiri PROKOPIUS,"TCH, ",Modern Pentathlon
201,Ruslans NAKONECHNYI,"LAT, ",Modern Pentathlon
202,Raoul MOLLET,"BEL, ",Modern Pentathlon
203,Thorsten LINDQVIST,"SWE, ",Modern Pentathlon
204,Harry AVELLAN,"FIN, ",Modern Pentathlon
205,Georges BRULE,"FRA, ",Modern Pentathlon
206,Alfonso OTTAVIANI,"ITA, ",Modern Pentathlon
207,Alexander JOHNSON,"AUS, ",Modern Pentathlon
208,Andrei GHEORGHE,"GUA, ",Modern Pentathlon
209,Adrienn TOTH,"HUN, ",Modern Pentathlon
210,Hector CARMONA,"CHI, ",Modern Pentathlon
211,Janos BODI,"HUN, ",Modern Pentathlon
212,Angel PEPELIANKOV,"BUL, ",Modern Pentathlon
213,Krzysztof TRYBUSIEWICZ,"POL, ",Modern Pentathlon
214,Ryszard WACH,"POL, ",Modern Pentathlon
215,Lawrence KEYTE,"CAN, ",Modern Pentathlon
216,Dzmitry MELIAKH,"BLR, ",Modern Pentathlon
217,Shohei IWAMOTO,"JPN, ",Modern Pentathlon
218,Patrick DOGUE,"GER, ",Modern Pentathlon
219,Werner VETTERLI,"SUI, ",Modern Pentathlon
220,Gosta LILLIEHOOK,"SWE, ",Modern Pentathlon
221,Hermann LEMP,"GER, ",Modern Pentathlon
222,Hans LAGER,"SWE, ",Modern Pentathlon
223,Vjaceslavs DUHANOVS,"LAT, ",Modern Pentathlon
224,Roberto CURCIO,"ITA, ",Modern Pentathlon
225,Per NYQVIST,"SWE, ",Modern Pentathlon
226,Ed FERNON,"AUS, ",Modern Pentathlon
227,Pavel ILIASHENKO,"KAZ, ",Modern Pentathlon
228,Thomas DANIEL,"AUT, ",Modern Pentathlon
229,Alfonso MAROTTA,"ITA, ",Modern Pentathlon
230,Daniele MASALA,"ITA, ",Modern Pentathlon
231,Georghi STOYANOV,"BUL, ",Modern Pentathlon
232,Bo JANSSON,"SWE, ",Modern Pentathlon
233,Raoul GUEGUEN,"FRA, ",Modern Pentathlon
234,Dumitru SPIRLEA,"ROU, ",Modern Pentathlon
235,Eva TRAUTMANN,"GER, ",Modern Pentathlon
236,Galina DOLGUSHINA,"KAZ, ",Modern Pentathlon
237,Kara GRANT,"CAN, ",Modern Pentathlon
238,Daniel SANTOS,"BRA, ",Modern Pentathlon
239,Alexander PARYGIN,"KAZ, ",Modern Pentathlon
240,Dzmitry MELIAKH,"BLR, ",Modern Pentathlon
241,Shohei IWAMOTO,"JPN, ",Modern Pentathlon
242,Patrick DOGUE,"GER, ",Modern Pentathlon
243,Werner VETTERLI,"SUI, ",Modern Pentathlon
244,Gosta LILLIEHOOK,"SWE, ",Modern Pentathlon
245,Hermann LEMP,"GER, ",Modern Pentathlon
246,Hans LAGER,"SWE, ",Modern Pentathlon
247,Vjaceslavs DUHANOVS,"LAT, ",Modern Pentathlon
248,Roberto CURCIO,"ITA, ",Modern Pentathlon
249,Per NYQVIST,"SWE, ",Modern Pentathlon
250,Ed FERNON,"AUS, ",Modern Pentathlon
251,Pavel ILIASHENKO,"KAZ, ",Modern Pentathlon
252,Thomas DANIEL,"AUT, ",Modern Pentathlon
253,Alfonso MAROTTA,"ITA, ",Modern Pentathlon
254,Daniele MASALA,"ITA, ",Modern Pentathlon
255,Georghi STOYANOV,"BUL, ",Modern Pentathlon
256,Bo JANSSON,"SWE, ",Modern Pentathlon
257,Raoul GUEGUEN,"FRA, ",Modern Pentathlon
258,Dumitru SPIRLEA,"ROU, ",Modern Pentathlon
259,Eva TRAUTMANN,"GER, ",Modern Pentathlon
260,Galina DOLGUSHINA,"KAZ, ",Modern Pentathlon
261,Kara GRANT,"CAN, ",Modern Pentathlon
262,Daniel SANTOS,"BRA, ",Modern Pentathlon
263,Alexander PARYGIN,"KAZ, ",Modern Pentathlon
264,Dzmitry MELIAKH,"BLR, ",Modern Pentathlon
265,Shohei IWAMOTO,"JPN, ",Modern Pentathlon
266,Patrick DOGUE,"GER, ",Modern Pentathlon
267,Werner VETTERLI,"SUI, ",Modern Pentathlon
268,Gosta LILLIEHOOK,"SWE, ",Modern Pentathlon
269,Hermann LEMP,"GER, ",Modern Pentathlon
270,Hans LAGER,"SWE, ",Modern Pentathlon
271,Vjaceslavs DUHANOVS,"LAT, ",Modern Pentathlon
272,Roberto CURCIO,"ITA, ",Modern Pentathlon
